story_id,word_idx,word,closure_depth,open_t,close_t,depth_t,same_parent,lca_dist
1,44,that,1,2,1,13,0.0,2.0
1,45,hummed,1,3,1,15,0.0,3.0
1,46,and,0,0,0,14,0.0,0.0
1,47,clattered,5,1,5,15,0.0,1.0
1,48,spun,0,1,0,11,0.0,1.0
1,49,wool,1,1,1,12,0.0,1.0
1,50,into,0,1,0,12,0.0,1.0
1,51,money,2,1,2,13,0.0,1.0
1,52,for,0,1,0,12,0.0,1.0
1,53,the,0,1,0,13,0.0,1.0
1,54,long-bearded,0,0,0,13,1.0,0.0
1,55,mill,0,0,0,13,1.0,0.0
1,56,owners.,14,0,13,13,1.0,0.0
1,57,That,0,3,0,3,0.0,2.0
1,58,all,0,2,0,5,0.0,2.0
1,59,mill,0,0,0,5,1.0,0.0
1,60,owners,1,0,1,5,1.0,0.0
1,61,were,0,1,0,5,0.0,1.0
1,62,generally,0,2,0,7,0.0,2.0
1,63,busy,0,0,0,7,1.0,0.0
1,64,as,0,1,0,8,0.0,1.0
1,65,beavers,3,1,3,9,0.0,1.0
1,66,and,0,0,0,6,0.0,0.0
1,67,quite,0,2,0,8,0.0,2.0
1,68,pleased,0,0,0,8,1.0,0.0
1,69,with,0,1,0,9,0.0,1.0
1,70,themselves,3,1,3,10,0.0,1.0
1,71,for,0,1,0,8,0.0,1.0
1,72,being,0,2,0,10,0.0,2.0
1,73,so,0,2,0,12,0.0,2.0
1,74,successful,1,0,1,12,1.0,0.0
1,75,and,0,0,0,11,0.0,0.0
1,76,well,0,1,0,12,0.0,1.0
1,77,off,10,0,10,12,1.0,0.0
1,78,was,0,1,0,3,0.0,1.0
1,79,known,0,1,0,4,0.0,1.0
1,80,to,0,1,0,5,0.0,1.0
1,81,the,0,2,0,7,0.0,2.0
1,82,residents,1,0,1,7,1.0,0.0
1,83,of,0,1,0,7,0.0,1.0
1,84,"Bradford,",7,1,7,8,0.0,1.0
1,85,and,0,0,0,1,0.0,0.0
1,86,if,0,2,0,3,0.0,2.0
1,87,you,1,2,1,5,0.0,2.0
1,88,were,0,1,0,5,0.0,1.0
1,89,to,0,2,0,7,0.0,2.0
1,90,go,0,1,0,8,0.0,1.0
